Point;Latitude;Longitude;Contexte;Période;ATX35;ATXND;ATNND;
6772;44.9251;0.6652;RCP4.5;H2;4.3;41;-14;
6773;44.9265;0.7664;RCP4.5;H2;3.92;41;-15;
6774;44.9279;0.8677;RCP4.5;H2;4.54;42;-15;
6775;44.9292;0.969;RCP4.5;H2;5.11;41;-15;
6776;44.9304;1.0703;RCP4.5;H2;4.96;40;-15;
6777;44.9315;1.1716;RCP4.5;H2;5.2;42;-15;
6778;44.9326;1.2728;RCP4.5;H2;5.71;41;-15;
6779;44.9335;1.3741;RCP4.5;H2;5.4;40;-15;
6780;44.9343;1.4754;RCP4.5;H2;6.63;41;-15;
6781;44.9351;1.5767;RCP4.5;H2;6.87;41;-15;
6782;44.9357;1.678;RCP4.5;H2;7.53;41;-15;
6783;44.9363;1.7794;RCP4.5;H2;7.83;41;-16;
6784;44.9367;1.8807;RCP4.5;H2;6.96;43;-16;
6785;44.9371;1.982;RCP4.5;H2;4.36;43;-16;
6786;44.9374;2.0833;RCP4.5;H2;2.31;44;-17;
6787;44.9376;2.1846;RCP4.5;H2;2.56;45;-17;
6788;44.9377;2.2859;RCP4.5;H2;2.48;44;-17;
6789;44.9377;2.3872;RCP4.5;H2;2.19;46;-17;
6790;44.9376;2.4885;RCP4.5;H2;1.56;46;-17;
6791;44.9374;2.5898;RCP4.5;H2;0.79;52;-17;
6792;44.9371;2.6911;RCP4.5;H2;0.52;55;-15;
6793;44.9368;2.7925;RCP4.5;H2;0.32;55;-15;
6794;44.9363;2.8938;RCP4.5;H2;0.34;52;-14;
6795;44.9357;2.9951;RCP4.5;H2;0.7;52;-14;
6796;44.9351;3.0964;RCP4.5;H2;1.85;53;-15;
6797;44.9343;3.1977;RCP4.5;H2;1.56;52;-15;
6798;44.9335;3.299;RCP4.5;H2;0.43;52;-15;
6799;44.9326;3.4003;RCP4.5;H2;0.05;52;-15;
6800;44.9316;3.5016;RCP4.5;H2;0.32;52;-16;
6801;44.9304;3.6028;RCP4.5;H2;0.55;52;-16;
6802;44.9292;3.7041;RCP4.5;H2;0.27;51;-15;
6803;44.9279;3.8054;RCP4.5;H2;0.05;51;-15;
6804;44.9266;3.9067;RCP4.5;H2;0.69;51;-16;
6805;44.9251;4.0079;RCP4.5;H2;0.3;53;-16;
6806;44.9235;4.1092;RCP4.5;H2;0;55;-17;
6807;44.9218;4.2105;RCP4.5;H2;0;55;-16;
6808;44.9201;4.3117;RCP4.5;H2;0.8;53;-16;
6809;44.9182;4.413;RCP4.5;H2;1.86;50;-14;
6810;44.9163;4.5142;RCP4.5;H2;2.35;50;-14;
6811;44.9142;4.6154;RCP4.5;H2;2.02;52;-17;
6812;44.9121;4.7167;RCP4.5;H2;2.55;52;-17;
6813;44.9099;4.8179;RCP4.5;H2;5.78;48;-14;
6814;44.9076;4.9191;RCP4.5;H2;5.73;46;-12;
6815;44.9051;5.0203;RCP4.5;H2;5.15;46;-12;
6816;44.9026;5.1215;RCP4.5;H2;4.91;48;-15;
6817;44.9;5.2226;RCP4.5;H2;0.32;54;-15;
6818;44.8974;5.3238;RCP4.5;H2;0.05;54;-14;
6819;44.8946;5.425;RCP4.5;H2;0.07;59;-14;
6820;44.8917;5.5261;RCP4.5;H2;0;56;-14;
6821;44.8887;5.6273;RCP4.5;H2;2.06;58;-14;
6822;44.8857;5.7284;RCP4.5;H2;2.13;55;-14;
6823;44.8825;5.8295;RCP4.5;H2;3.47;61;-14;
6824;44.8793;5.9306;RCP4.5;H2;0.05;59;-12;
6825;44.876;6.0317;RCP4.5;H2;0;69;-14;
6826;44.8725;6.1328;RCP4.5;H2;0;62;-16;
6827;44.869;6.2339;RCP4.5;H2;0;59;-15;
6828;44.8654;6.3349;RCP4.5;H2;0;57;-15;
6829;44.8617;6.436;RCP4.5;H2;0;61;-12;
6830;44.8579;6.537;RCP4.5;H2;0;59;-16;
6831;44.854;6.638;RCP4.5;H2;0;58;-15;
6832;44.85;6.739;RCP4.5;H2;0;50;-15;
6833;44.846;6.84;RCP4.5;H2;0;47;-17;
6834;44.8418;6.941;RCP4.5;H2;0;46;-16;
6897;44.9544;-1.1609;RCP4.5;H2;1.5;29;-13;
6898;44.9575;-1.0597;RCP4.5;H2;1.54;30;-13;
6899;44.9606;-0.9584;RCP4.5;H2;3.73;30;-12;
6900;44.9636;-0.8571;RCP4.5;H2;3.62;32;-12;
6901;44.9664;-0.7558;RCP4.5;H2;2.51;32;-12;
6902;44.9692;-0.6546;RCP4.5;H2;2.88;32;-12;
6903;44.9719;-0.5533;RCP4.5;H2;3.07;32;-12;
6904;44.9745;-0.4519;RCP4.5;H2;1.58;35;-14;
6905;44.977;-0.3506;RCP4.5;H2;4.52;37;-14;
6906;44.9794;-0.2493;RCP4.5;H2;4.73;36;-14;
6907;44.9818;-0.148;RCP4.5;H2;4.69;38;-14;
6908;44.984;-0.0466;RCP4.5;H2;4.54;38;-14;
6909;44.9861;0.0547;RCP4.5;H2;4.75;39;-14;
6910;44.9882;0.1561;RCP4.5;H2;4.79;39;-14;
